Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Albania,ALB,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,6.6081611451815396
Albania,ALB,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,7.2517911346515396
Albania,ALB,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,7.8538744280249002
Albania,ALB,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.0134415319304608
Albania,ALB,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,8.1386412433496602
Albania,ALB,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,8.8288225551199808
Albania,ALB,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,7.1680704500646097
Albania,ALB,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,8.3724877348069295
Albania,ALB,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,5.3918162093460698
Albania,ALB,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,6.1894677049581004
Albania,ALB,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,5.4217506931637596
Albania,ALB,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,5.1816259010291397
Albania,ALB,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,6.3863770499459998
Albania,ALB,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,5.4798411157400002
Albania,ALB,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,6.7710670121988299
Albania,ALB,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,6.0424082790223901
Albania,ALB,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,7.30684473556457
Albania,ALB,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,6.73537632602679
Albania,ALB,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,6.7437509111264298
Albania,ALB,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,6.2240136982373304
Albania,ALB,"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,5.2329440670985301
Albania,ALB,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,4.7679615269602103
Albania,ALB,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,3.9410198671560002
Albania,ALB,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,3.58035766709405
Albania,ALB,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,3.1920916349040298
Albania,ALB,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,2.82847026791578
Albania,ALB,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,3.2303058695649098
Albania,ALB,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,2.6674832083259901
Albania,ALB,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,5.6411287069576801
Albania,ALB,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,5.9099592138806596
Albania,ALB,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,5.6487715538898504
Albania,ALB,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,5.9897017438216604
Albania,ALB,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,5.3233844224626097
Albania,ALB,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,5.9367903904789596
Albania,ALB,"Population, total",SP.POP.TOTL,2837849
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1444380
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1393469
Andorra,AND,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,..
Andorra,AND,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,..
Andorra,AND,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,..
